year,index,,
1962,24.783,,
1963,25.534,,
1964,26.1348,,
1965,26.9609,,
1966,27.8621,,
1967,28.3878,,
1968,28.8384,,
1969,29.3641,,
1970,30.4155,,
1971,31.9926,,
1972,33.7199,,
1973,36.1231,,
1974,38.6014,,
1975,40.9295,,
1976,42.6568,,
1977,44.2339,,
1978,45.4355,,
1979,47.313,,
1980,49.8664,,
1981,53.0206,,
1982,55.7993,,
1983,57.6017,,
1984,59.0286,,
1985,60.2302,,
1986,60.1551,,
1987,60.3053,,
1988,61.0563,,
1989,62.7836,,
1990,64.4358,,
1991,65.5,,
1992,68.8,,
1993,71.9,,
1994,73.8,,
1995,75.1,,
1996,76.1,,
1997,77.6,,
1998,78.3,,
1999,78.8,,
2000,79.9,,
2001,81.5,,
2002,82.6,,
2003,83.5,,
2004,84.9,,
2005,86.2,,
2006,87.6,,
2007,89.6,,
2008,91.9,,
2009,92.2,,
2010,93.2,,
2011,95.2,,
2012,97.1,,
2013,98.5,,
2014,99.5,,
2015,100,,
2016,100.5,,
2017,102,,
2018,103.8,,
2019,105.3,,
