"age","income"
18,9218.56680769231
19,11676.0650769231
20,13608.6991072915
21,15563.2539850583
22,17264.6026892209
23,18716.6589215378
24,19968.2927029976
25,21805.4596741952
26,23258.3809728685
27,24285.9838376131
28,25596.8050122882
29,26455.467172942
30,27287.5975070472
31,27922.8121031194
32,28894.0227478899
33,29554.2335083379
34,30549.9216315
35,31097.9749710299
36,31970.774749416
37,32580.9589628797
38,33262.3238159793
39,33817.9700212481
40,34090.4074569406
41,34559.6048373513
42,34969.1340662284
43,35522.7367564419
44,35507.1421981577
45,35451.8428205841
46,35599.7277295337
47,35549.7696088678
48,35658.0195434187
49,35634.2705251558
50,36084.9018709323
51,35991.7933268256
52,35993.1410068818
53,35973.136132189
54,36082.1322275641
55,36139.1763514487
56,35742.5318427841
57,35382.6237130872
58,34681.8158494487
59,34674.9642617235
60,35696.8264775778
61,36055.7040095464
62,36982.8379377736
63,38491.1416847117
64,38640.5503897522
