state,token,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Baden-Württemberg,BW,7900,8400,8300,7800,8400,9000,9100,8900,9400,8500,7300,7700,8000,8700
Bayern,BY,8100,8300,8100,8400,8500,8900,8900,8700,8700,7900,7500,6800,7500,7900
Berlin,BE,7400,7600,7400,6900,7100,6800,7100,7100,7300,7000,7200,6500,6700,6800
Brandenburg,BB,7900,7300,7600,7400,7200,6500,6400,5900,6100,6300,6500,6600,6900,7000
Bremen,HB,7700,8200,8300,8200,8300,8600,8500,8300,8400,7200,6800,7300,7100,7100
Hamburg,HH,8000,8300,8800,8700,7800,8100,8900,8800,8300,7300,7100,7600,8000,6900
Hessen,HE,7400,7900,7300,7700,8300,9000,8500,7900,9400,8000,7100,6400,5800,5600
Mecklenburg-Vorpommern,MV,8600,9000,8800,8300,8200,8300,8400,7600,7600,8000,7100,7500,8100,9500
Niedersachsen,NI,9100,9600,9800,10100,10000,10300,10800,10300,10000,9100,7100,8100,8900,8700
Nordrhein-Westfalen,NW,6700,6800,6800,6800,7100,7200,7400,7200,7000,6400,6300,6800,6400,5800
Rheinland-Pfalz,RP,7100,6900,6600,6500,6500,6800,6800,6900,6400,6400,6100,5800,5800,6300
Saarland,SL,6900,7900,6800,6900,8500,7600,7300,7100,7800,8700,8500,9500,8400,8100
Sachsen,SN,8000,7700,7800,7600,7400,7800,7600,7400,7800,7500,7600,7700,7100,7800
Sachsen-Anhalt,ST,7300,7400,7000,8300,8000,8100,8200,7400,7700,6900,6500,6800,7300,8200
Schleswig-Holstein,SH,7300,7300,7100,6800,7000,7100,7200,7100,7200,7300,7100,7100,6900,7000
Thüringen,TH,8700,8800,8500,8200,8000,8300,8400,7500,7900,7300,7400,7500,7700,7500
Germany,DE,7600,7800,7700,7700,7900,8100,8200,8000,8100,7400,7000,7100,7100,7100
